id_aluno,semestre_atual,total_semestres_cursados,nota_disciplina1,nota_disciplina2,nota_disciplina3,nota_disciplina4,nota_disciplina5,nota_disciplina6,nota_disciplina7,nota_disciplina8,nota_disciplina9,nota_disciplina10,media_notas,taxa_aprovacao,frequencia,evadiu,qtd_trancamentos,slope_notas,std_notas,Probabilidade,Nível de Risco,Previsão Evasão (0/1)
1,1,10,8.73,5.2,3.29,6.89,3.7,6.46,4.71,7.54,1.41,6.02,1.34,0.63,82,0,2,-0.2027272727272727,2.19024732241209,0.7167992214349709,🔴 Alto,1
2,6,7,7.17,8.39,8.4,2.1,0.59,0.8,7.71,4.97,7.77,1.51,3.19,0.97,84,0,1,-0.3356969696969699,3.3403640852790617,0.3423526167393041,🟢 Baixo,0
3,3,8,5.22,2.2,2.27,5.03,6.82,4.64,1.26,5.11,9.19,2.83,3.17,0.38,29,1,2,0.1704848484848484,2.406020458026998,0.5393803466347009,🟠 Médio,0
4,3,9,9.72,7.12,2.81,4.61,2.47,3.69,8.89,5.52,5.27,2.33,7.21,0.79,48,1,3,-0.3142424242424244,2.6215307233243204,0.5822735022190039,🟠 Médio,0
5,2,1,2.67,1.63,0.53,6.04,3.93,7.27,8.78,5.75,4.09,7.68,5.41,0.06,57,0,3,0.605878787878788,2.7231886946494663,0.6663692988539267,🔴 Alto,1
6,6,5,8.98,6.05,1.6,3.36,3.61,6.32,4.33,3.89,0.59,0.08,7.13,0.03,73,0,1,-0.6136363636363636,2.742279870634813,0.7251204966966206,🔴 Alto,1
7,7,7,8.33,1.59,0.18,7.16,0.11,5.99,0.24,8.22,5.72,2.17,0.37,0.59,89,0,3,-0.0073333333333333,3.439510462583625,0.3933403549163163,🟢 Baixo,0
8,6,4,1.87,3.29,3.07,1.55,0.02,9.93,5.14,8.43,6.61,5.19,0.17,0.29,42,0,3,0.6096969696969698,3.152871706872958,0.4602033335252656,🟠 Médio,0
9,5,9,6.6,9.5,9.52,8.43,0.82,9.26,6.77,5.35,1.59,3.16,1.01,0.68,8,1,2,-0.6286060606060607,3.2794715021377048,0.8573087333198162,🔴 Alto,1
10,4,10,3.27,9.3,6.1,2.9,1.66,0.84,4.17,8.3,2.93,0.1,7.89,0.27,99,1,4,-0.3583636363636364,3.065206355206775,0.1573922832341079,🟢 Baixo,0
